id_img,label
10052,sad
10065,sad
10079,fear
10095,angry
10121,angry
10148,sad
10163,sad
10215,sad
1024,happy
10286,sad
10315,sad
10336,angry
10338,surprise
10371,sad
10382,sad
10399,sad
10415,sad
10426,sad
10551,sad
10554,angry
10583,neutral
10699,angry
10702,sad
1071,angry
10743,angry
10746,sad
10818,sad
10823,sad
10825,neutral
10839,fear
10854,sad
10970,sad
11002,sad
11017,sad
11024,sad
11028,sad
1106,neutral
11075,fear
11093,sad
11096,fear
11158,neutral
11169,sad
11186,sad
11188,sad
11200,neutral
1124,angry
11266,sad
1127,sad
11337,sad
11342,sad
11400,sad
11421,sad
11467,sad
11561,fear
11610,fear
11613,neutral
11632,sad
11642,neutral
11675,sad
11694,angry
1177,fear
11813,angry
11841,angry
11849,angry
11883,fear
11949,happy
11964,sad
11986,sad
12136,neutral
12144,sad
1215,sad
12171,sad
12183,angry
12230,sad
12237,sad
12307,fear
1235,fear
12352,surprise
12489,sad
12680,angry
12695,neutral
12733,fear
12808,sad
12810,sad
12841,angry
12842,sad
12851,angry
12928,sad
12945,sad
13029,sad
13041,angry
13057,surprise
13059,sad
13092,neutral
13118,sad
13167,angry
13220,sad
13267,sad
13279,sad
13334,sad
13351,sad
13376,sad
13395,sad
1340,angry
13431,sad
1350,neutral
13514,sad
13533,fear
13535,fear
1358,sad
13582,sad
13599,sad
13607,angry
13671,sad
13672,fear
13738,sad
13758,sad
1386,fear
13890,sad
13978,angry
14022,angry
14030,angry
14058,sad
14108,angry
14118,happy
14120,sad
14148,neutral
14185,sad
14206,fear
1422,sad
14243,angry
14315,sad
14329,disgust
14357,sad
14376,sad
1438,sad
14381,sad
14421,angry
14438,sad
14498,sad
14557,sad
1460,sad
14706,sad
1477,sad
14775,sad
14821,happy
14831,sad
14870,angry
14945,neutral
15074,sad
1508,sad
15138,angry
15172,sad
15190,sad
15194,angry
15217,fear
15222,sad
15295,sad
15474,sad
15500,sad
15502,sad
1555,sad
15562,happy
15637,sad
15644,fear
15654,sad
15699,neutral
157,disgust
15709,happy
15712,sad
15715,fear
15725,fear
